Date,DateTime,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
16/12/2007,16/12/2007 00:00:00,0:00:00,1.94525,0.056,245.84,8.2,0,0,0
16/12/2007,16/12/2007 00:01:00,0:01:00,1.984,0,245.04,8,0,0,0
16/12/2007,16/12/2007 00:02:00,0:02:00,1.99455,0,245.29,7.6,0,0,0
16/12/2007,16/12/2007 00:03:00,0:03:00,0.648,0,246.35,2.8,0,0,0
16/12/2007,16/12/2007 00:04:00,0:04:00,1.97355,0,246.05,1.6,0,0,0
16/12/2007,16/12/2007 00:05:00,0:05:00,1.9596,0,246.61,1.6,0,0,0
16/12/2007,16/12/2007 00:06:00,0:06:00,1.91175,0,246.45,1.6,0,0,0
16/12/2007,16/12/2007 00:07:00,0:07:00,0.372,0,246.5,1.6,0,0,0
16/12/2007,16/12/2007 00:08:00,0:08:00,0.37,0,246.03,1.6,0,0,0
16/12/2007,16/12/2007 00:09:00,0:09:00,0.372,0,246.48,1.6,0,0,0
16/12/2007,16/12/2007 00:10:00,0:10:00,1.70235,0,246.74,1.8,0,0,0
16/12/2007,16/12/2007 00:11:00,0:11:00,0.452,0.078,247.1,1.8,0,0,0
16/12/2007,16/12/2007 00:12:00,0:12:00,0.45,0.08,247.71,1.8,0,0,0
16/12/2007,16/12/2007 00:13:00,0:13:00,0.452,0.08,247.69,1.8,0,0,0
16/12/2007,16/12/2007 00:14:00,0:14:00,1.54735,0.076,247.11,4,0,0,0
16/12/2007,16/12/2007 00:15:00,0:15:00,1.55065,0.058,245.49,8.8,0,0,0
16/12/2007,16/12/2007 00:16:00,0:16:00,2.06,0.058,245.43,8.4,0,0,0
16/12/2007,16/12/2007 00:17:00,0:17:00,2.04,0.058,245.4,8.2,0,0,0
16/12/2007,16/12/2007 00:18:00,0:18:00,1.56285,0.056,245.14,8.2,0,0,0
16/12/2007,16/12/2007 00:19:00,0:19:00,1.57875,0.062,245.7,6.4,0,0,0
16/12/2007,16/12/2007 00:20:00,0:20:00,1.526,0,245.88,6.2,0,0,0
16/12/2007,16/12/2007 00:21:00,0:21:00,1.474,0,245.97,6,0,0,0
16/12/2007,16/12/2007 00:22:00,0:22:00,1.62135,0,246.22,6,0,0,0
16/12/2007,16/12/2007 00:23:00,0:23:00,1.63365,0,246.21,6,0,0,0
16/12/2007,16/12/2007 00:24:00,0:24:00,1.474,0,246.39,6,0,0,0
16/12/2007,16/12/2007 00:25:00,0:25:00,1.474,0,246.43,6,0,0,0
16/12/2007,16/12/2007 00:26:00,0:26:00,1.64575,0,247.49,3.2,0,0,0
16/12/2007,16/12/2007 00:27:00,0:27:00,0.494,0.106,245.48,2,0,0,0
16/12/2007,16/12/2007 00:28:00,0:28:00,0.486,0.098,243.67,2,0,0,0
16/12/2007,16/12/2007 00:29:00,0:29:00,0.49,0.1,243.9,2.2,0,0,0
16/12/2007,16/12/2007 00:30:00,0:30:00,1.58745,0.1,244.05,2.2,0,0,0
16/12/2007,16/12/2007 00:31:00,0:31:00,0.492,0.102,244.24,2.2,0,0,0
16/12/2007,16/12/2007 00:32:00,0:32:00,0.494,0.104,244.76,2.2,0,0,0
16/12/2007,16/12/2007 00:33:00,0:33:00,1.4258,0.104,244.95,2.2,0,0,0
16/12/2007,16/12/2007 00:34:00,0:34:00,0.49,0.104,244.75,2,0,0,0
16/12/2007,16/12/2007 00:35:00,0:35:00,1.33445,0.104,245.02,2,0,0,0
16/12/2007,16/12/2007 00:36:00,0:36:00,0.486,0.106,245.53,2,0,0,0
16/12/2007,16/12/2007 00:37:00,0:37:00,1.26425,0.102,245.6,4.8,0,0,0
16/12/2007,16/12/2007 00:38:00,0:38:00,1.26615,0.086,243.88,8.8,0,0,0
16/12/2007,16/12/2007 00:39:00,0:39:00,1.26525,0.088,244.32,8.4,0,0,0
16/12/2007,16/12/2007 00:40:00,0:40:00,1.26485,0.088,244.25,8.2,0,0,0
16/12/2007,16/12/2007 00:41:00,0:41:00,2.032,0.088,244.1,8.2,0,0,0
16/12/2007,16/12/2007 00:42:00,0:42:00,1.568,0.094,244.8,6.4,0,0,0
16/12/2007,16/12/2007 00:43:00,0:43:00,1.2843,0,244.1,6.8,0,0,0
16/12/2007,16/12/2007 00:44:00,0:44:00,1.668,0.054,243.97,6.8,0,0,0
16/12/2007,16/12/2007 00:45:00,0:45:00,1.666,0.054,243.71,6.8,0,0,0
16/12/2007,16/12/2007 00:46:00,0:46:00,1.668,0.054,243.89,6.8,0,0,0
16/12/2007,16/12/2007 00:47:00,0:47:00,1.4139,0.054,244.15,6.8,0,0,0
16/12/2007,16/12/2007 00:48:00,0:48:00,1.4464,0.054,244.14,6.8,0,0,0
16/12/2007,16/12/2007 00:49:00,0:49:00,1.4788,0.054,244.02,6.8,0,0,0
16/12/2007,16/12/2007 00:50:00,0:50:00,1.174,0.048,245.05,5.2,0,0,0
16/12/2007,16/12/2007 00:51:00,0:51:00,0.604,0,245.8,2.4,0,0,0
16/12/2007,16/12/2007 00:52:00,0:52:00,0.606,0,246.34,2.4,0,0,0
16/12/2007,16/12/2007 00:53:00,0:53:00,1.5101,0,246.06,2.4,0,0,0
16/12/2007,16/12/2007 00:54:00,0:54:00,0.766,0,246.36,3.2,0,0,0
16/12/2007,16/12/2007 00:55:00,0:55:00,0.682,0.07,246.33,2.8,0,0,0
16/12/2007,16/12/2007 00:56:00,0:56:00,1.44165,0.068,246.16,3,0,0,0
16/12/2007,16/12/2007 00:57:00,0:57:00,1.41875,0.074,245.31,4.8,0,0,0
16/12/2007,16/12/2007 00:58:00,0:58:00,1.422,0.078,245.44,5.8,0,0,0
16/12/2007,16/12/2007 00:59:00,0:59:00,1.39815,0.078,245.55,5.4,0,0,0
16/12/2007,16/12/2007 01:00:00,1:00:00,1.39455,0.156,245.71,5.6,0,0,0
16/12/2007,16/12/2007 01:01:00,1:01:00,1.314,0.206,245.52,5.4,0,2,0
16/12/2007,16/12/2007 01:02:00,1:02:00,2.604,0.19,243.98,11.2,0,1,0
16/12/2007,16/12/2007 01:03:00,1:03:00,1.4493,0.188,243.41,11,0,2,0
16/12/2007,16/12/2007 01:04:00,1:04:00,1.4621,0.078,244.58,8,0,1,0
16/12/2007,16/12/2007 01:05:00,1:05:00,1.944,0.08,245.31,7.8,0,1,0
16/12/2007,16/12/2007 01:06:00,1:06:00,1.4987,0.084,246.18,6.6,0,2,0
16/12/2007,16/12/2007 01:07:00,1:07:00,1.5209,0.088,246.35,5.6,0,1,0
16/12/2007,16/12/2007 01:08:00,1:08:00,1.402,0.092,247.6,5.6,0,2,0
16/12/2007,16/12/2007 01:09:00,1:09:00,1.516,0.22,247.72,6.2,0,1,0
16/12/2007,16/12/2007 01:10:00,1:10:00,1.59575,0.272,247.62,6.2,0,2,0
16/12/2007,16/12/2007 01:11:00,1:11:00,1.54,0.272,247.48,6.2,0,1,0
16/12/2007,16/12/2007 01:12:00,1:12:00,1.528,0.268,246.53,6.2,0,1,0
16/12/2007,16/12/2007 01:13:00,1:13:00,1.6736,0.266,246.46,6.2,0,2,0
16/12/2007,16/12/2007 01:14:00,1:14:00,1.6993,0.264,245.9,6.2,0,1,0
16/12/2007,16/12/2007 01:15:00,1:15:00,1.7107,0.276,246.96,4.4,0,2,0
16/12/2007,16/12/2007 01:16:00,1:16:00,1.7095,0.286,247.86,2,0,1,0
16/12/2007,16/12/2007 01:17:00,1:17:00,0.436,0.284,247.67,2,0,1,0
16/12/2007,16/12/2007 01:18:00,1:18:00,1.6554,0.282,247.13,2,0,2,0
16/12/2007,16/12/2007 01:19:00,1:19:00,0.394,0.22,246.59,1.8,0,0,0
16/12/2007,16/12/2007 01:20:00,1:20:00,1.5717,0.14,244.21,1.4,0,0,0
16/12/2007,16/12/2007 01:21:00,1:21:00,0.338,0.13,243.73,1.4,0,0,0
16/12/2007,16/12/2007 01:22:00,1:22:00,1.49795,0.102,242.97,1.4,0,0,0
16/12/2007,16/12/2007 01:23:00,1:23:00,1.464,0.104,243.9,1.4,0,0,0
16/12/2007,16/12/2007 01:24:00,1:24:00,0.312,0.104,244,1.4,0,0,0
16/12/2007,16/12/2007 01:25:00,1:25:00,0.252,0,244.24,1,0,0,0
16/12/2007,16/12/2007 01:26:00,1:26:00,0.218,0,244.45,0.8,0,0,0
16/12/2007,16/12/2007 01:27:00,1:27:00,1.586,0.048,242.77,7.2,0,0,0
16/12/2007,16/12/2007 01:28:00,1:28:00,1.796,0.052,242.37,7.4,0,0,0
16/12/2007,16/12/2007 01:29:00,1:29:00,1.766,0.05,242.37,7.2,0,0,0
16/12/2007,16/12/2007 01:30:00,1:30:00,1.3773,0.05,242.56,7.2,0,0,0
16/12/2007,16/12/2007 01:31:00,1:31:00,1.3998,0.048,242.54,6.2,0,0,0
16/12/2007,16/12/2007 01:32:00,1:32:00,1.41625,0.046,242.45,5.2,0,0,0
16/12/2007,16/12/2007 01:33:00,1:33:00,1.274,0.046,242.56,5.2,0,0,0
16/12/2007,16/12/2007 01:34:00,1:34:00,1.27,0.048,242.11,5.2,0,0,0
16/12/2007,16/12/2007 01:35:00,1:35:00,1.45995,0.048,241.83,5.2,0,0,0
16/12/2007,16/12/2007 01:36:00,1:36:00,1.268,0.048,241.81,5.2,0,0,0
16/12/2007,16/12/2007 01:37:00,1:37:00,1.27,0.048,241.9,5.2,0,0,0
16/12/2007,16/12/2007 01:38:00,1:38:00,1.334,0,243.06,5.4,0,0,0
16/12/2007,16/12/2007 01:39:00,1:39:00,1.354,0.058,243.18,5.4,0,0,0
16/12/2007,16/12/2007 01:40:00,1:40:00,1.352,0.058,242.86,5.4,0,0,0
16/12/2007,16/12/2007 01:41:00,1:41:00,1.4654,0.064,243.34,4.4,0,0,0
16/12/2007,16/12/2007 01:42:00,1:42:00,1.4077,0.074,244.32,1.2,0,0,0
16/12/2007,16/12/2007 01:43:00,1:43:00,1.3476,0.074,244.59,1.2,0,0,0
16/12/2007,16/12/2007 01:44:00,1:44:00,0.294,0.076,245.36,1.2,0,0,0
16/12/2007,16/12/2007 01:45:00,1:45:00,0.292,0.076,245.09,1.2,0,0,0
16/12/2007,16/12/2007 01:46:00,1:46:00,0.292,0.076,244.97,1.2,0,0,0
16/12/2007,16/12/2007 01:47:00,1:47:00,1.2026,0,245.38,1,0,0,0
16/12/2007,16/12/2007 01:48:00,1:48:00,0.22,0,245.86,0.8,0,0,0
16/12/2007,16/12/2007 01:49:00,1:49:00,1.14065,0,245.49,0.8,0,0,0
16/12/2007,16/12/2007 01:50:00,1:50:00,0.22,0,245.28,0.8,0,0,0
16/12/2007,16/12/2007 01:51:00,1:51:00,1.0745,0,245.32,0.8,0,0,0
16/12/2007,16/12/2007 01:52:00,1:52:00,0.314,0.072,245.62,1.4,0,0,0
16/12/2007,16/12/2007 01:53:00,1:53:00,1.0543,0.088,244.08,8.2,0,0,0
