Global_active_power, Noise, Anomaly
1.94525,2.590496156,1
1.984,2.276707423,0
1.99455,2.66753599,1
0.648,0.75502552,0
1.97355,0.998926085,1
1.9596,1.6068012,0
1.91175,2.47298768,1
0.372,0.084696783,0
0.37,0.565627137,0
0.372,1.191807246,1
1.70235,1.571718266,0
0.452,1.207529825,1
0.45,-0.150471458,1
0.452,-0.333012676,1
1.54735,2.511945182,1
1.55065,1.13905913,0
2.06,1.625272644,0
2.04,2.008998654,0
1.56285,2.363103815,1
1.57875,2.398467122,1
1.526,2.201123787,1
1.474,0.848554161,1
1.62135,2.102516009,0
1.63365,2.23349073,1
1.474,1.804656818,0
1.474,1.053009737,0
1.64575,1.318323126,0
0.494,1.125083347,1
0.486,0.162153806,0
0.49,1.07410665,1
1.58745,1.975979395,0
0.492,1.366321201,1
0.494,1.348060688,1
1.4258,0.919991132,1
0.49,0.268320854,0
1.33445,0.667700224,1
0.486,-0.50455038,1
1.26425,1.45410058,0
1.26615,1.328193774,0
1.26525,0.436880281,1
1.26485,1.389055038,0
2.032,2.76027894,1
1.568,2.324790586,1
1.2843,0.449339561,1
1.668,2.320312622,1
1.666,1.173165032,0
1.668,0.895440661,1
1.4139,1.007583727,0
1.4464,2.161978692,1
1.4788,0.735892338,1
1.174,0.835124302,0
0.604,1.426477861,1
0.606,-0.273539783,1
1.5101,2.32203961,1
0.766,0.689513961,0
0.682,0.952691995,0
1.44165,2.253191415,1
1.41875,0.49189526,1
1.422,2.198368702,1
1.39815,1.844516348,0
1.39455,2.369178074,1
1.314,2.244154333,1
2.604,1.640542976,1
1.4493,2.060820487,1
1.4621,0.893377851,1
1.944,1.939047065,0
1.4987,2.400169137,1
1.5209,2.42623741,1
1.402,1.83866647,0
1.516,2.147344958,1
1.59575,1.17470951,0
1.54,1.915422065,0
1.528,2.434954881,1
1.6736,2.302223534,1
1.6993,1.394812084,0
1.7107,2.657544847,1
1.7095,1.327263575,0
0.436,0.752126448,0
1.6554,2.602928108,1
0.394,0.217491786,0
1.5717,0.923269076,1
0.338,-0.583110601,1
1.49795,2.413454655,1
1.464,0.883061468,1
0.312,0.234982348,0
0.252,0.818051534,1
0.218,0.971860984,1
1.586,0.628121078,1
1.796,2.36667717,1
1.766,2.273628859,1
1.3773,0.899008809,0
1.3998,2.33610436,1
1.41625,1.829731878,0
1.274,1.889677425,1
1.27,0.467002207,1
1.45995,1.654000706,0
1.268,1.959735964,1
1.27,0.415270099,1
1.334,2.06776171,1
1.354,1.011265557,0
1.352,0.957695894,0
1.4654,0.787503251,1
1.4077,1.564717258,0
1.3476,0.431833734,1
0.294,0.972132828,1
0.292,0.577702238,0
0.292,1.20752298,1
1.2026,0.694436683,1
0.22,0.336427526,0
1.14065,1.117319115,0
0.22,-0.12707158,0
1.0745,0.569914967,1
0.314,-0.560382848,1
